Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.24.2026 19:52:10,T0,T1,4.8ft,0.05s
4.24.2026 19:52:10,T0,T1,4.7ft,0.05s
4.24.2026 19:52:10,T0,T1,4.6ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.4ft,0.05s
4.24.2026 19:52:10,T0,T1,4.4ft,0.05s
4.24.2026 19:52:10,T0,T1,4.4ft,0.05s
4.24.2026 19:52:10,T0,T1,4.4ft,0.05s
4.24.2026 19:52:10,T0,T1,4.4ft,0.05s
4.24.2026 19:52:10,T0,T1,4.4ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:10,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.06s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.5ft,0.05s
4.24.2026 19:52:11,T0,T1,4.7ft,0.05s
4.24.2026 19:52:11,T0,T1,4.6ft,0.05s
4.24.2026 19:52:11,T0,T1,4.9ft,0.05s
4.24.2026 19:52:11,T0,T1,5.3ft,0.05s
4.24.2026 19:52:11,T0,T1,5.6ft,0.05s
4.24.2026 19:52:11,T0,T1,5.9ft,0.05s
4.24.2026 19:52:12,T0,T1,5.4ft,0.05s
4.24.2026 19:52:12,T0,T1,5.0ft,0.05s
4.24.2026 19:52:12,T0,T1,4.7ft,0.05s
4.24.2026 19:52:12,T0,T1,5.1ft,0.05s
4.24.2026 19:52:12,T0,T1,5.5ft,0.05s
4.24.2026 19:52:12,T0,T1,5.8ft,0.05s
4.24.2026 19:52:12,T0,T1,6.1ft,0.05s
4.24.2026 19:52:12,T0,T1,5.5ft,0.05s
4.24.2026 19:52:12,T0,T1,5.1ft,0.05s
4.24.2026 19:52:12,T0,T1,4.8ft,0.05s
4.24.2026 19:52:12,T0,T1,4.7ft,0.05s
4.24.2026 19:52:12,T0,T1,4.6ft,0.05s
4.24.2026 19:52:12,T0,T1,4.5ft,0.05s
4.24.2026 19:52:12,T0,T1,4.7ft,0.05s
4.24.2026 19:52:12,T0,T1,5.1ft,0.05s
4.24.2026 19:52:12,T0,T1,5.4ft,0.05s
4.24.2026 19:52:12,T0,T1,5.1ft,0.05s
4.24.2026 19:52:12,T0,T1,4.8ft,0.05s
4.24.2026 19:52:12,T0,T1,5.2ft,0.05s
4.24.2026 19:52:12,T0,T1,5.5ft,0.05s
4.24.2026 19:52:13,T0,T1,5.1ft,0.05s
4.24.2026 19:52:13,T0,T1,4.9ft,0.05s
4.24.2026 19:52:13,T0,T1,4.7ft,0.05s
4.24.2026 19:52:13,T0,T1,4.6ft,0.05s
4.24.2026 19:52:13,T0,T1,4.5ft,0.05s
4.24.2026 19:52:13,T0,T1,4.5ft,0.05s
4.24.2026 19:52:13,T0,T1,4.5ft,0.05s
4.24.2026 19:52:13,T0,T1,4.4ft,0.05s
4.24.2026 19:52:13,T0,T1,4.6ft,0.05s
4.24.2026 19:52:13,T0,T1,4.9ft,0.05s
4.24.2026 19:52:13,T0,T1,5.2ft,0.05s
4.24.2026 19:52:13,T0,T1,4.9ft,0.05s
4.24.2026 19:52:13,T0,T1,4.7ft,0.05s
4.24.2026 19:52:13,T0,T1,4.6ft,0.05s
4.24.2026 19:52:13,T0,T1,4.5ft,0.05s
4.24.2026 19:52:13,T0,T1,4.5ft,0.05s
4.24.2026 19:52:13,T0,T1,4.4ft,0.05s
4.24.2026 19:52:13,T0,T1,4.4ft,0.05s
4.24.2026 19:52:13,T0,T1,4.4ft,0.05s
4.24.2026 19:52:14,T0,T1,4.4ft,0.05s
4.24.2026 19:52:14,T0,T1,4.4ft,0.05s
